SỐ GPLH,NGÀY HẾT HẠN,Tên nguyên liệu,PHÂN LOẠI,TIÊU CHUẨN,CƠ SỞ SẢN XUẤT NGUYÊN LIỆU,NƯỚC SẢN XUẤT NGUYÊN LIỆU,ĐỊA CHỈ CƠ SỞ SẢN XUẤT NGUYÊN LIỆU,PHẢI CẤP PHÉP NHẬP KHẨU
893100001223,2028-02-27T00:00:00+07:00,Paracetamol,Dược chất,BP,"Anqiu LuAn Pharmaceutical Co., Ltd.",CHINA,"No.35, Weixu North Road, Anqiu City, Shandong Province, China.",False
893100001523,2028-02-27T00:00:00+07:00,Carbocisteine,Dược chất,EP 9.0,"WUHAN GRAND HOYO CO., LTD.",CHINA,"No. 1 Industrial Park, Gedian Economy Development Zone, Ezhou, Hubei Province, 436030, China",False
893100001623,2028-02-27T00:00:00+07:00,Acetylcysteine,Dược chất,USP 41,FIS – FABBRICA ITALIANA SINTETICI S.P.A.,ITALY,"Via Dovaro, snc – 36045 Lonigo – Vicenza (Italy)",False
893100001823,2028-12-27T00:00:00+07:00,Xylometazoline hydrochloride,Dược chất,EP 8,Ipochem,Poland,"03-236 Warsaw, 6, Annopol St. Poland",False
893100002123,2028-02-27T00:00:00+07:00,Glucosamine sulfate sodium chloride,Dược chất,USP 39,"Yangzhou Rixing Bio-tech Co.,LTD",CHINA,"No.2 Tong Xin Road, GaoYou City, Jiangsu, China",False
893100002723,2028-02-27T00:00:00+07:00,Chlorpheniramine maleate,Dược chất,BP 2018,"Supriya Lifescience
Ltd.",INDIA,"A-5/2, Lote Parshuram Industrial Area, M.I.D.C., Tal-Khed, Dist-Ratnagiri 415722 Maharashtra State, India. Hoặc: A-5/2, Lote Parshuram Industrial Area, M.I.D.C., Tal.-Khed, Dist.-Ratnagiri, Pin: 415 722, Maharashtra,India",False
893100002723,2028-02-27T00:00:00+07:00,Paracetamol,Dược chất,BP 2018,"Anqiu Lu’An Pharmaceutical
Co., Ltd.",CHINA,"No.35, Weixu North Road, Anqiu City,
Shandong Province, China.
Hoặc: No. 35, Weixu North Road, Anqiu, Shandong,China",False
893100003323,2028-02-27T00:00:00+07:00,Calci lactat pentahydrat,Dược chất,BP,"Luoyang Longmen Pharmaceutical Co., Ltd",CHINA,"Couty Industrial Zone Luoning henan province, China",False
893100003323,2028-02-27T00:00:00+07:00,Calci gluconat (dưới dạng calci gluconat monohydrat ),Dược chất,USP hiện hành,Anmol chemicals,INDIA,"Địa chỉ văn phòng: S-8, Sarifa Mansion, 2nd Principal S.H.Marg, Chinch Bunder, Munbai - 400009, Maharashtra, India; Địa chỉ nhà máy: Plot No. J-63, Road No. U-6.M.I.D.C., Taloja - 410208, Maharashtra, India",False
893100004023,2026-02-27T00:00:00+07:00,Paracetamol,Dược chất,BP 2018,"Anqiu LuAn Pharmaceutical Co., Ltd",CHINA,"No.35, Weixu North Road, Anqiu City, Shandong Province, China.",False
893100004023,2026-02-27T00:00:00+07:00,Chlorphenamine maleate,Dược chất,BP 2018,Supriya Lifescience Ltd,INDIA,"A-5/2, Lote Parshuram Industrial Area, MIDC, Taluka-Khed, Dist. Ratnagiri-415722, Maharashtra, India",False
893100004023,2026-02-27T00:00:00+07:00,Thiamine mononitrate,Dược chất,USP 41,"Jiangxi Tianxin Pharmaceutical Co., Ltd",CHINA,"Le’an jiang Industrial Zone, Leping Country, Jiangxi, Province, China",False
893100004123,2028-02-27T00:00:00+07:00,Bromelain,Dược chất,TC NSX,Biozym Gesellschaft für Enzymtechnologie mbH,GERMANY,"Pinkertweg 50, D-22113 Hamburg, Germany",False
893100004423,2028-02-27T00:00:00+07:00,Dicyclomine hydrochloride,Dược chất,TC NSX,OLON S.P.A,ITALY,"Via Milano, 186  20024 Garbagnate Milanese (MI) – Italy",False
893100004523,2028-02-27T00:00:00+07:00,Dicyclomine hydrochloride,Dược chất,TC NSX,OLON S.P.A,ITALY,"Via Milano, 186  20024 Garbagnate Milanese (MI) – Italy",False
893100004623,2028-02-27T00:00:00+07:00,Cetrimide,Dược chất,BP2016,Unilab Chemicals & Pharmaceuticals Pvt.LTD,Ấn Độ,"107/108, Anjani Complex , Parera Hill road, Off Andheri Kurla road, Chakala, Andheri Mumbai",False
893100005523,2026-02-27T00:00:00+07:00,Paracetamol,Dược chất,BP 2020,"Anqiu Luan Pharmaceutical Co., Ltd.",CHINA,N/A,False
893100005523,2026-02-27T00:00:00+07:00,Clorpheniramin maleat,Dược chất,BP 2020,Supriya Lifescience Ltd.,INDIA,NA,False
893100052923,2028-03-24T00:00:00+07:00,Mebendazole,Dược chất,USP41+TCNSX,K.A Malle Pharmaceuticals Ltd,INDIA,"6005, GIDC, Ankleshwar 393002, Dist.Bharuch, Gujarat-India",False
893100054323,2028-03-24T00:00:00+07:00,Paracetamol,Dược chất,"USP 40, BP 2016, EP 9.0","Lianyungang Kangle Pharmaceutical Co., Ltd.",CHINA,"No.2, Hunan Road, Ganyu Economic Development Zone, Lianyungang, Jiangsu, Trung Quốc",False
893100054323,2028-03-24T00:00:00+07:00,Paracetamol,Dược chất,"USP 40, BP 2016, EP 9.0",Meghmani LLP.,INDIA,"Plot No CH-3, GIDC Estate, Dahej, Tal-vagra
City: Dahej-392 130, Dist: Bharuch, Gujarat state, Ấn Độ",False
893100054323,2028-03-24T00:00:00+07:00,Paracetamol,Dược chất,"USP 40, BP 2016, EP 9.0, TCCS","Anqiu Lu'An Pharmaceutical Co., Ltd.",CHINA,"No.35, Weixu North Road, Anqiu City, Shandong Province, China (Trung Quốc)",False
893100054523,2028-03-24T00:00:00+07:00,Albendazole,Dược chất,USP 41,KA Malle Pharmaceuticals Ltd.,INDIA,"6005. GIDC, Ankleshwar 393002, Dist. Bharuch. Gujarat - India",False
893100054623,2028-03-24T00:00:00+07:00,Fexofenadine hydrochloride,Dược chất,EP 10.5,"Virupaksha Organics Limited, Unit II",INDIA,"Plot No 30 to 33 IDA, Pashamylaram, Pashamylaram(V), Patancheru(M), Sangareddy (Dist), India",False
893100057223,2028-03-24T00:00:00+07:00,Xylometazoline hydrochloride,Dược chất,EP 8,Ipochem,Poland,"03-236 Warsaw, 6, Annopol str. Poland",False
893100057623,2028-03-24T00:00:00+07:00,Xylometazoline Hydrochloride,Dược chất,USP 40,Anish Chemicals,INDIA,"355/2, GIDC, Chitra, Bhavnagar – 364004, India",False
893100058923,2028-03-24T00:00:00+07:00,Loratadin,Dược chất,USP 42,Vasudha pharmachem limited,Ấn Độ,"78/A, Vengal rao Nagar, hyderabad-38 Andhra Pradesh, India",False
893100059223,2028-03-24T00:00:00+07:00,Guaifenesin,Dược chất,USP 40,Synthokem Labs Private Limited (Unit-II),INDIA,"Plot No. 222 to 224 & 235 to 237, Phase - II, IDA Pashamylaram, Medak District - 502319, Andhra Pradesh, India",False
893100059223,2028-03-24T00:00:00+07:00,Oxomemazin,Dược chất,TC NSX,Harika Drugs Pvt Ltd,INDIA,"Sy.No. 165/A & 165/E, Gummadidala Village, Medak District, Telangana State, India",False
893100060023,2028-03-24T00:00:00+07:00,Cetrimonium bromide,Dược chất,NF 35,Unilab Chemicals & Pharmaceuticals Pvt. Ltd.,INDIA,"W-32, MIDC, Phase II, Dombivli (E)-421204",False
893100060023,2028-03-24T00:00:00+07:00,Lidocaine,Dược chất,EP 9.0,Swati Spentose Pvt. Ltd. Unit-I,INDIA,"A-1/2102 & 2103, Phase-III, G.I.D.C, Vapi-396 195, Gujarat. India",False
893100060023,2028-03-24T00:00:00+07:00,Tyrothricin,Dược chất,USP 40,Xellia Pharmaceuticals Ltd.,Hungary,"H-1107 Budapest, Szállás u. 1-3, Hungary",False
893100060423,2028-03-24T00:00:00+07:00,Ketoconazole,Dược chất,USP 43,Aarti Drugs Limited,INDIA,"Plot No. E 21, MIDC Tarapur, Tarapur, Tal. Boisar, Palghar 401506, Maharashtra State, India",False
893100060723,2028-03-24T00:00:00+07:00,Albendazol,Dược chất,USP 42,"K A Malle pharmaceuticals
Ltd",INDIA,"6005 GIDC, Ankleshwar
393 002 Dist. Bharuch,
Gujara, India",False
893100061723,2028-03-24T00:00:00+07:00,Vitamin D3,Dược chất,EP 9.0,DSM Nutritional Products Ltd,Switzerland,"Global Regulatory Affairs and Quality Management P.O.Box 2676, CH-4002 Basel, Switzerland.",False
893100061723,2028-03-24T00:00:00+07:00,Calci gluconat,Dược chất,USP 41,"Jiangxi XinGanjiang Pharmaceutical Co., Ltd",CHINA,"No.36 Yunzhang Road, Jizhou District, Ji'an City, Jiangxi Province, China",False
893100061923,2028-03-24T00:00:00+07:00,Acetylcystein,Dược chất,EP 9,"Wuhan Grand Hoyo Co., Ltd",CHINA,"No.1 Industrial Park, Gedian Economy Development Zone, E’ zhou City, Hubei, China",False
893100061923,2028-03-24T00:00:00+07:00,Acetylcystein,Dược chất,USP 41/ EP 9,F.I.S. - Fabbrica Italiana Sintetici S.p.A,ITALY,"Via Dovaro, snc, LONIGO, 36045, Italy",False
893100062023,2028-03-24T00:00:00+07:00,Bromelain,Dược chất,NSX,Biozym GmbH,Đức,"Pinkertweg 50, D-22113 Hamburg, 
Germany",False
893100063823,2028-03-24T00:00:00+07:00,Banana flavour,Tá dược,In-house,Givaudan Schweiz AG,Switzerland,"Neugutstrasse 46, 8600 Dübendorf",False
893100063823,2028-03-24T00:00:00+07:00,Ambroxol hydrochloride,Dược chất,BP 2020,Ami Lifesciences Pvt. Ltd.,INDIA,"Block No. 82/B, ECP Road, At & Post. Karakhadi, Tal – Padra, City: Karakhadi – 391 450, Dist. Vadodara Gujarat State",False
893100064023,2028-03-24T00:00:00+07:00,Ambroxol hydrochloride,Dược chất,BP 2020,Ami Lifesciences Pvt. Ltd.,INDIA,"Block No. 82/B, ECP Road, At & Post. Karakhadi, Tal – Padra, City: Karakhadi – 391 450, Dist. Vadodara Gujarat State",False
893100065023,2028-03-24T00:00:00+07:00,Ibuprofen,Dược chất,USP 43,IOL Chemicals And Pharmaceuticals Limited,Ấn Độ,"Village Fatehgarh Channa, Tehsil Barnala, District Barnala, Punjab State",False
893100065023,,Silic keo khan K200 (Colloidal silicon dioxide),Tá dược,USP phiên bản hiện hành,OCI Company Ltd.,Hàn Quốc,"233 Soryong-dong, Gunsan, Jeollabuk-do",False
893100065023,,Magnesi stearat (Magnesium stearate),Tá dược,DĐVN phiên bản hiện hành,"CM Shanghai Co., Ltd.",Trung Quốc,"Ocean Towers, 550 Yan’an Road (E), Huang Pu Dist., Shanghai 200001",False
893100065023,,Lactose monohydrat 200 (Lactose monohydrate 200),Tá dược,USP phiên bản hiện hành,Molkerei Meggle USA Inc.,Mỹ,"592 Route 22; Suite 2B Pawling, NY 12564",False
893100065023,,Povidon K30 (Povidone K30),Tá dược,USP phiên bản hiện hành,"Jiaozuo Zhongwei Special products Pharmaceutical, Co,Ltd.",Trung Quốc,"No.115,Xinyuan-Dong Road, Wen County, Jiaozuo City, Henan Province, 454800",False
893100065023,,Natri croscarmellose (Croscarmellose sodium),Tá dược,USP phiên bản hiện hành,Gujarat Microwax Private Limited,Ấn Độ,"401/402 Sarthik Square, Nr. GNFC Tower, Sarkhej-Gandhinagar Highway, Ahmedabad - 380054",False
893100065023,,Talc,Tá dược,DĐVN phiên bản hiện hành,Nitika Pharmaceutical Speciallities Pvt.Ltd,Ấn Độ,"Star Pharma Chem, Nagpur, Plot No.08, Mouza-Waddhamana, Amravati Road Nagpur-440023",False
893100065023,,Cellulose vi tinh thể 101 (Microcrystalline cellulose 101),Tá dược,USP phiên bản hiện hành,"Mingtai Chemical Co., Ltd.",Đài Loan,"1142, Shin Hsing Rd., Bah-Der District, Taoyuan City",False
893100065023,,Tá dược bao phim Opadry II Pink (Opadry® II Complete Film Coating System 85F14400 Pink),Tá dược,Nhà sản xuất,Colorcon Asia Pacific Pte Ltd.,Singapore,No 1 Magazine Road  #04-01 Central Mall Office Tower,False
893100117023,2028-05-25T00:00:00+07:00,Almagate,Dược chất,EP hiện hành,Priti Industries,INDIA,"340/1,4 & 5, G.I.D.C Chitra  Bhavnagar-364 004, India - Ấn Độ",False
893100121023,2028-05-25T00:00:00+07:00,Ibuprofen,Dược chất,USP 43,IOL Chemicals And Pharmaceuticals Limited,Ấn Độ,"Village Fatehgarh Channa Mansa Road (Trident Complex), Barnala, District Barnala",False
893100121123,,Magnesi stearat,Tá dược,USP phiên bản hiện hành,Oleon Sdn Bhd,Malaysia,"Lot 57, Jalan Sungai Pinang 4/3/KS11Selangor Halal Hub, Pulau Indah Industrial Park, 42920 Port Klang Selangor Darul Ehsan, Malaysia",False
893100121123,2028-05-25T00:00:00+07:00,Acid Mefenamic,Dược chất,BP phiên bản hiện hành,"Yung Zip Chemical Ind. Co., Ltd.,",Taiwan,N/A,False
893100121123,,Povidone K-90,Tá dược,USP phiên bản hiện hành,"ISP (Singapore) Pte Ltd.,",Singapore,"455 N.Matin St., (Hwy 95) P.O. Box 37, Calvert City, KY 42029",False
893100121123,,Microcrystalline cellulose,Tá dược,USP phiên bản hiện hành,"JRS Pharma GmbH & Co. KG.,",Đức,"Freiberger Str. 7, 09600 Weißenborn, Germany",False
893100121123,,Hydroxypropyl cellulose,Tá dược,USP phiên bản hiện hành,"Nippon Soda Co., Ltd.,",Nhật Bản,"Nihongi Plant, 950, Fujisawa, Nakago-ku, Joetsu, Niigata, 949-2392, JAPAN",False
893100121123,,Hydroxypropyl methylcellulose,Tá dược,USP phiên bản hiện hành,The Dow Chemical Company,Hoa Kỳ,"Louisiana Operations, P.O. Box 150, Plaquemine, Louisiana, USA",False
893100121123,,Tinh bột ngô,Tá dược,USP phiên bản hiện hành,Roquette Freres,Pháp,"1 rue de la Haute Loge, LESTREM, 62136, France",False
893100121123,,Natri starch glycolat,Tá dược,USP phiên bản hiện hành,"JRS Pharma GmbH & Co. KG.,",Đức,"Lohmenerstr. 12, 01796 Pirna, Germany",False
893100121123,,Polyethylene glycol 6000,Tá dược,USP phiên bản hiện hành,"INEOS Oxide,",Bỉ,"NV Haven 1053 Nieuwe Weg 1, B- 2070, Zwijndrecht, Belgium",False
893100121123,,Isopropyl alcohol,Tá dược,USP phiên bản hiện hành,"Top Solvent Co., Ltd.,",Thái Lan,"555/1 Energy Complex Building A, 11th Floor, Vibhavadi Rangsit Road , Chatuchak, Bangkok 10900",False
893100121123,,Titanium dioxid,Tá dược,USP phiên bản hiện hành,"Tioxide Europe S.r.l,",Ý,"Località Casone 58020 Scarlino (Grosseto), Italy",False
893100121123,,Bột Talc,Tá dược,USP phiên bản hiện hành,"Guangxi Longguang Talc Development Co., Ltd.,",Trung Quốc,"NO.68, Xinglong South Road, Longsheng County, Guangxi, China",False
893100129123,2028-06-01T00:00:00+07:00,Nhôm hydroxyd gel khô (Dried Aluminum hydroxide gel),Dược chất,USP 40,Nitika Pharmaceutical Specialities Pvt. Ltd.,INDIA,"Block No. 03 of Plot No. 1296, 1297/08, Ward No.03, Mouza-Waddhamana, Tah-Hingna, Amravati Road, Nagpur-440023, India.",False
893100129123,2028-06-01T00:00:00+07:00,Magnesi hydroxyd (Magnesium hydroxide),Dược chất,USP 40,Nitika Pharmaceutical Specialities Pvt. Ltd.,INDIA,"Block No. 03 of Plot No. 1296, 1297/08, Ward No.03, Mouza-Waddhamana, Tah-Hingna, Amravati Road, Nagpur-440023, India.",False
893100129123,2028-06-01T00:00:00+07:00,Nhũ tương simeticon 30% (simethicone emulsion 30%),Dược chất,USP 40,Sudeep Pharma Pvt. Ltd.,INDIA,"129/1/A, and 129/12, GIDC Estate, Nandesari – 391 340, Dist – Vadodara, India",False
893100129323,2028-06-01T00:00:00+07:00,Naproxen,Dược chất,USP hiện hành,"Industrias Quimicas Falcon De México, S.A. de C.V.",Mexico,"Km. 4.5, Carretera Federal Cuernavaca-Cuautla, Col. CIVAC, C.P. 62578, Jiutepec, Morelos, México",False
893100129823,2028-06-01T00:00:00+07:00,Loxoprofen natri hydrat,Dược chất,JP 17,"Sci Pharmtech, inc",Taiwan,"No.61, Ln.309, Haihu N.Rd., Luzhu Dist, Taoyuan City 33858, Taiwan",False
893100130923,2028-06-01T00:00:00+07:00,Paracetamol,Dược chất,BP 2016,"HEBEI JIHENG (GROUP) PHARMACEUTICAL CO.,LTD",Trung Quốc,"No.368 Jianshe Street, Hengshui City, Hebei Province, 053000 P.R China",False
893100131023,2028-06-01T00:00:00+07:00,Vitamin B6 (Pyridoxine hydrochloride),Dược chất,BP 2018,"Jiangxi Tianxin Pharmaceutical Co., Ltd",CHINA,"Le’anjiang Industrial Zone, Leping, Jiangxi, 333300, China",False
893100131223,2028-06-01T00:00:00+07:00,Paracetamol,Dược chất,BP 2018,"AnQiu Lu’an Pharmaceutical Co., LTD.",CHINA,"No. 35, Weixu North Road, Anqiu City, Shandong Province, China.",False
893100131223,2028-06-01T00:00:00+07:00,Clorpheniramin maleat,Dược chất,BP 2018,Supriya lifescience Ltd,CHINA,"Plot No. A-5/2 Lote Parshurman Industrial Area, M.I.D.C Tal - Khed Dist - Ralnagiri; Pin: 415 722, Maharashua, India",False
893100131323,2028-06-01T00:00:00+07:00,Benzalkonium clorid,Dược chất,USP 42,Novo Nordisk Pharmatech A/S,Denmark,"Kobenhavnsvej 216, Koge, 4600",False
893100131323,2028-06-01T00:00:00+07:00,Tyrothricin,Dược chất,USP 42,Xellia Pharmaceuticals Ltd.,Hungary,"Szállás utca 1-3., Budapest, 1107",False
893100131323,2028-06-01T00:00:00+07:00,Benzocain,Dược chất,USP 40,"Changzhou sunlight pharmaceutical co.,ltd",CHINA,"No. 216 Yunnan West Road, Benniu Town, Xinbei District, Changzhou City",False
893100132923,2028-06-01T00:00:00+07:00,Loratadine,Dược chất,USP 42,"Vasudha Pharma Chem
Limited",INDIA,"Unit-II, Plot No.79, JN Pharma city, Parawada, Visakhapatnam-531019, Andhra Pradesh, India",False
893100133123,2028-06-01T00:00:00+07:00,Hydrocortisone,Dược chất,USP 41,"TIANJIN JỊNIN PHARMACEUTICAL CO., LTD",CHINA,"No.8, Jingfu Road, Industrial Zone of Zhangjiawo Town, Xiqing district, Tianjin, China",False
893100147123,2028-07-03T00:00:00+07:00,Dimenhydrinate,Dược chất,BP hiện hành,S.S. Pharmachem,INDIA,"Plot No K-44/45 MIDC Tarapur, Boisar Dist - Thane, Boisar - 401506, Dist - Palghar Zone 3, India",False
893100148023,2028-07-03T00:00:00+07:00,Zinc gluconate,Dược chất,EP 10,Givaudan-Lavirotte,France,"56 Rue Paul Cazeneuve, 69008 Lyon, France",False
893100149623,2028-07-03T00:00:00+07:00,Loratadine,Dược chất,USP 43,MOREPEN LABORATORIES LIMITED.,INDIA,"Vill. Malkumajra (Morepen village), Baddi Nalagarh Road, Baddi, Distt. Solan, (Himachal Pradesh), 173 205 India.",False
893100150523,2028-07-03T00:00:00+07:00,Ibuprofen,Dược chất,BP 2021,IOL Chemicals and Pharmaceuticals Ltd,INDIA,"Village Fatehgarh Channa Mansa Road. Trident Complex. Barnala - 148101, Punjab, India",False
893100150623,2028-07-03T00:00:00+07:00,Mefenamic acid,Dược chất,BP 2021,"Shaanxi Baoxin Pharmaceutical Co., Ltd.",CHINA,"Caijiapo Economic and Technical Development Zone, Qishan County, Baoji City, Shaanxi Province, China",False
893100150723,2028-07-03T00:00:00+07:00,Hesperidin,Dược chất,TC NSX,HealthTech Bio Actives SLU,Spain,"Carretera de Zeneta 143-145 El Raiguero – La Villa, E-30130 Beniel (Murcia), Spain",False
893100150723,2028-07-03T00:00:00+07:00,Diosmin,Dược chất,EP 10,HealthTech Bio Actives SLU,Spain,"Carretera de Zeneta 143-145 El Raiguero – La Villa, E-30130 Beniel (Murcia), Spain",False
893100151623,2028-07-03T00:00:00+07:00,Paracetamol,Dược chất,EP 10.3,SpecGx LLC,USA,"8801 Capital Blvd, Raleigh, North Carolina (NC) 27616, United States (USA)",False
893100151723,2028-07-03T00:00:00+07:00,Paracetamol,Dược chất,EP 10.3,SpecGx LLC,USA,"8801 Capital Blvd, Raleigh, North Carolina (NC) 27616, United States (USA)",False
893100151823,2028-07-03T00:00:00+07:00,Ibuprofen,Dược chất,BP 2021,IOL Chemicals And Pharmaceuticals Limited,INDIA,"Village Fatehgarh Channa, Mansa Road, District – Barnala, 148101 State – Punjlab, India",False
893100151823,2028-07-03T00:00:00+07:00,Paracetamol,Dược chất,EP 10.3,SpecGx LLC,USA,"8801 Capital Boulevard, Raleigh, North Carolina 27616, USA",False
893100151923,2028-07-03T00:00:00+07:00,Sorbitol,Dược chất,EP 10,ROQUETTE FRERES,France,"1 rue de la Haute Loge, LESTREM, 62136, France",False
893100152223,2028-07-03T00:00:00+07:00,Ambroxol hydroclorid,Dược chất,BP hiện hành,"Ami Lifesciences
Pvt.Ltd,",INDIA,"Block No.82/B, ECP Road, At & PO:Karakhadi-391450, Tal: Padra, Dis: Baroda,Gujarat,India",False
893100153023,2028-07-03T00:00:00+07:00,"Nang rỗng số 2, một đầu màu xanh lá đậm, một đầu màu xanh lá nhạt",Vỏ nang,Tiêu chuẩn nhà sản xuất,PT CAPSUGEL INDONESIA,Indonesia,"Jl. Raya Jakarta - Bogor Km. 42,5 Kp. Padurenan RT 003 Rw 007 Kel. Pabuaran, Kec. Cibinong, Bogor, Jawa Barat",False
893100153023,2028-07-03T00:00:00+07:00,Acetylcysteine,Dược chất,EP 10.3,F.I.S. - Fabbrica Italiana Sintetici S.P.A,ITALY,"Via Dovaro Italy-36045 Lonigo, Vicenza",False
893100153623,2028-07-03T00:00:00+07:00,Alimemazine tartrate,Dược chất,BP,R L Fine Chem Pvt Ltd.,INDIA,"Plots IP No. 27-29, Parts of Sy. No. 18, 273, 274 &313, KIADB Industrial Area, 1 Phase, Kudumalakunte Village, Gowribidanoor Taluk, Chickkaballapura District – 561208, India",False
893100153723,2028-07-03T00:00:00+07:00,Carbocisteine,Dược chất,EP,"Wuhan Grand Hoyo Co., Ltd",CHINA,"No.1 Industrial Park, Gedian Economy Development Zone, E’ zhou City, Hubei, China",False
893100154023,2028-07-03T00:00:00+07:00,N-acetyl-dl-leucin,Dược chất,NSX,FLAMMA S.P.A,ITALY,"Via Bedeschi, 22-24040 Chignolo D’isola (BG), Italy",False
893100158523,2028-07-03T00:00:00+07:00,Clotrimazole,Dược chất,USP 42,"Guangzhou Hanpu Pharmaceutical Co., Ltd.",CHINA,"No. 9 Jufeng North Road, Aotou Town, Conghua City, Guangzhou 510940, China",False
893100158623,2028-07-03T00:00:00+07:00,Povidone iodine,Dược chất,USP,Boai NKY Pharmaceuticals Ltd,CHINA,"No.1888, East of Wenhua Road, Boai country, Henan Province, China",False
893100160623,2028-07-03T00:00:00+07:00,Chlorhexidine gluconate,Dược chất,EP 10,Evonik Operations GmbH,GERMANY,"Rodenbacher Chaussee 4, 63457 Hanau, Germany",False
893100161223,2028-07-03T00:00:00+07:00,Coenzym Q10 (ubidecarenon),Dược chất,USP hiện hành,METEORIC BIOPHARMACEUTICALS PVT.LTD,Ấn Độ,"C/6, C/7, C/8. SHRI NIDHI ESTATE, N.H. NO. 8, ASLALI (DASKROI) AHMEDABAD-382427, GUJARAT, INDIA",False
893100161423,2028-07-03T00:00:00+07:00,Coenzym Q10 (ubidecarenon),Dược chất,USP,METEORIC BIOPHARMACEUTICALS PVT.LTD.,Ấn Độ,"C/6, C/7, C/8, SHRI NIDHI ESTATE, N.H .NO.8, ASLALI (DASKROI), AHMEDABAD-382427, GUJARAT, INDIA",False
893100161723,2028-07-03T00:00:00+07:00,Paracetamol,Dược chất,BP 2020,"Anqiu Lu’an Pharmaceutical Co., Ltd",CHINA,"No. 35, Weixu North Road, Anqiu City, Shandong Province, China.",False
893100161723,2028-07-03T00:00:00+07:00,Codeine phosphate hemihydrate,Dược chất,EP 10.0,Macfarlan Smith Limited,UK,"Three Trees Road, Newbie, Annan, DG12 5QH, UK",True
893100161823,2028-07-03T00:00:00+07:00,Codeine phosphate hemihydrate,Dược chất,EP 10.0,Macfarlan Smith Limited,UK,"Three Trees Road, Newbie, Annan, DG12 5QH, UK",True
893100161823,2028-07-03T00:00:00+07:00,Paracetamol,Dược chất,BP 2020,"Anqiu Lu’an Pharmaceutical Co., Ltd",CHINA,"No. 35, Weixu North Road, Anqiu City, Shandong Province, China.",False
893100162623,2028-07-03T00:00:00+07:00,Ibuprofen,Dược chất,BP 2019,SOLARA ACTIVE PHARMA SCIENCES LIMITED.,INDIA,N/A,False
893100162723,2028-07-03T00:00:00+07:00,Loratadin,Dược chất,USP 41,MOREPEN LABORATORIES LIMITED,INDIA,"Malkumajra (Morepen Village), Baddi Nalagarh Road, P.O Bhud, Distt. Solan, Himachal Pardesh,",False
893100162723,2028-07-03T00:00:00+07:00,Loratadin,Dược chất,USP 41,MOREPEN LABORATORIES LIMITED,INDIA,"Malkumajra (Morepen Village), Baddi Nalagarh Road, P.O Bhud, Distt. Solan, Himachal Pardesh",False
893100162823,2028-07-03T00:00:00+07:00,Diosmectite,Dược chất,TCNSX,"Shandong Hongjitang Pharmaceutical Group Co., Ltd.",CHINA,"No. 30766, East Jingshi Road, Licheng District, Jinan City, Shandong Province, China",False
893100163623,2028-07-03T00:00:00+07:00,Paracetamol (Acetaminophen),Dược chất,USP 42,"Anqiu LuAn Pharmaceutical Co., Ltd",Trung Quốc,"No.35, Weixu North Road, Xinan Subdistrict Anqiu, Weifang City, Shandong Province-Post code: 262100",False
