SỐ ĐĂNG KÝ LƯU HÀNH,NGÀY HẾT HIỆU LỰC SỐ ĐĂNG KÝ,"TÊN TÁ DƯỢC, VỎ NANGTÊN CƠ SỞ SẢN XUẤT",NƯỚC SẢN XUẤT,TIÊU CHUẨN CHẤT LƯỢNG
VD-35552-22,2027-01-05T00:00:00+07:00,Tinh bột biến tính (Starch 1500® Partially Pregelatinized Maize Starch 2001),"COLORCON, INC. - INDIANAPOLIS, IN",United States,EP 11.0
VD-35552-22,2027-01-05T00:00:00+07:00,Màu xanh số 1 FD&C (Brilliant Blue),KOEL COLOURS PRIVATE LIMITED,India,TC NSX
VD-35552-22,2027-01-05T00:00:00+07:00,Màu xanh số 1 FD&C (FD&C blue No.1),UNIVAR BV,England,TC NSX
893110156523,,PEG 6000 (Sinopol PEG 6000),"Sino – Japan Chemical Co., Ltd",Taiwan,USP-NF hiện hành
893110156523,,Titanium dioxide,"Precheza, a.s.",Czech Republic,EP hiện hành
893110156523,,Talc (Talc powder),"Liaoning Xinda Talc Group Co., Ltd",China,BP hiện hành
893110156523,,Hypromellose (HPMC E6),"Shandong Head Co., Ltd",China,USP-NF hiện hành
893110156523,,Silica colloidalis anhydrica (Aerosil),Wacker Chemie AG,Germany,EP hiện hành
893110156523,,Magnesium stearate,Sun Ace Kakoh (Pte.) Ltd.,Singapore,USP-NF hiện hành
893110156523,,Crosscarmellose sodium (Primellose),DMV-Fonterra Excipient GmbH & Co. KG,Germany,EP hiện hành
893110156523,,Glycerin,Vance Bioenergy Sdn. Bhd,Malaysia,USP-NF hiện hành
893110156523,,Gelatin (Gelatin 150 BL),"Geltech Co., Ltd",Korea,USP-NF hiện hành
893110156523,,Microcrystalline cellulose (Comprecel M102D+),"Mingtai Chemical Co., Ltd",Taiwan,BP hiện hành
893110156523,,Lactose monohydrate,DMV-Fonterra Excipient GmbH & Co. KG,Germany,EP hiện hành
893110156423,,PEG 6000,"Sino – Japan Chemical Co., Ltd",Taiwan,USP 41
893110156423,,Titan dioxyd,Precheza,Czech Republic,EP 9.0
893110156423,,Talc,"Liaoning Xinda Talc Group Co., Ltd",China,BP 2018
893110156423,,Aerosil 200,"Wacker Chemicals (South Asia) Pte., Ltd",Singapore,EP 9.0
893110156423,,Magnesi stearat,Sun ACE Kakoh (PTE.) Ltd.,Singapore,USP 41
893110156423,,Crosscarmellose natri,"DMV – Fonterra Excipients GmbH & Co. KG, Goch – Germany",Germany,EP 9.0
893110156423,,HPMC E6,"Shandong Head Co., Ltd",China,USP 41
893110156423,,Avicel pH102,"Mingtai Chemical Co., Ltd",Taiwan,BP 2018
893110156423,,Tinh bột ngô,Roquette Freres,France,BP 2018
893110210223,,Sucralose,"Anhui Jinhe Industrial Co., Ltd.",P.R.China,EP 10.0
893110210223,,Lactose,"Cơ sở đặt gia công: MEGGLE USA, Inc./ Cơ sở nhận gia công: Agropur inc.",USA,EP 10.0
893110210223,,Lactose,MEGGLE GmbH & Co. KG,Germany,EP 10.0
893110210223,,Lactose,"DFE Pharma GmbH & Co. KG – Add: Klever Str. 187, Goch 47574, Germany. Nhà máy: FrieslandCampina DMV B.V.",The Netherlands,EP 10.0
893110210223,,Hương cam,V. Mane Fils SA,France,NSX
893110210223,,PVP K30,"ISP Technologies Inc., affiliate of Ashland",United States,USP-NF 2021
893110210223,,PVP K30,"ISP Chemicals LLC, affiliate of Ashland",United States,USP-NF 2021
893110210223,,Mannitol,"Shandong Tianli Pharmaceutical Co., Ltd.",China,BP 2022
VD-34577-20,2025-12-21T00:00:00+07:00,Lactose,MEGGLE GmbH & Co. KG,Germany,EP hiện hành
VD-34577-20,2025-12-21T00:00:00+07:00,Lactose,"DFE Pharma GmbH & Co. KG - Add: Klever Str. 187, Goch 47574, Germany. Nhà máy: DFE Pharma GmbH & Co. KG",Germany,EP hiện hành
VD-34577-20,2025-12-21T00:00:00+07:00,Hương cam,V.Mane Fils SA,France,Tiêu chuẩn nhà sản xuất
VD-34577-20,2025-12-21T00:00:00+07:00,Sucralose,"Anhui Jinhe Industrial Co., Ltd.",P.R.China,EP hiện hành
VD-34577-20,2025-12-21T00:00:00+07:00,Mannitol,"Shijiazhuang Hua Xu Pharmaceutical Co., Ltd.",China,BP hiện hành
VD-34577-20,2025-12-21T00:00:00+07:00,Mannitol,"Shandong Tianli Pharmaceutical Co., Ltd",P.R.China,BP hiện hành
893110056623,2028-03-24T00:00:00+07:00,Iron oxide yellow,ROHA DYECHEM PVT. LTD,India,Tiêu chuẩn Nhà sản xuất
893110056623,2028-03-24T00:00:00+07:00,Titanium dioxide (10004 Pretiox AV01FG),PRECHEZA A.S.,Czech Republic,EP hiện hành
893110056623,2028-03-24T00:00:00+07:00,Talc (Microtalc Pharma 30 Bags),ELEMENTIS MINERALS B.V.,The Netherlands,USP hiện hành
893110056623,2028-03-24T00:00:00+07:00,Hypromellose 6 cps (Hydroxypropyl Methyl Cellulose 60HD6),"SHANDONG HEAD GROUP CO., LTD.",P.R.China,USP hiện hành
893110056623,2028-03-24T00:00:00+07:00,Magnesium stearate (Tablube® Magnesium Stearate),NITIKA PHARMACEUTICAL SPECIALITIES PVT. LTD.,India,USP hiện hành
893110056623,2028-03-24T00:00:00+07:00,Carboxymethylcellulose Calcium (Swellcal® Carmellose Sodium),PATEL CHEM SPECIALITIES PVT. LTD.,India,USP hiện hành
893110056623,2028-03-24T00:00:00+07:00,Carboxymethylcellulose Calcium (Carboxymethyl Cellulose Calcium),AMIT HYDROCOLLOIDS,India,USP hiện hành
893110056623,2028-03-24T00:00:00+07:00,Polyethylene glycol 6000 (Macrogols 6000) (Lipoxol 6000 Med Powder),SASOL GERMANY GMBH,Germany,EP hiện hành
893110056623,2028-03-24T00:00:00+07:00,Hydroxypropylcellulose (Hydroxypropylcellulose HPC-L),"NIPPON SODA CO., LTD.",Japan,EP hiện hành
893110056623,2028-03-24T00:00:00+07:00,Maize starch (Maize starch B),ROQUETTE FRERES,France,EP hiện hành
893110056623,2028-03-24T00:00:00+07:00,Lactose monohydrate (Pharmatose 200M),FRIESLANDCAMPINA DMV B.V.,The Netherlands,EP hiện hành
893100354723,2028-10-16T00:00:00+07:00,Sorbitan monostearate  ( Tên TM: Span 60 Pharma -PA-(SG)),CRODA SINGAPORE PTE LTD,Singapore,EP 10
893100354723,2028-10-16T00:00:00+07:00,Light Mineral Oil ( Tên TM: Carnation White  Mineral oil ),SONNEBORN LLC,USA,USP 43-NF 38
893100354723,2028-10-16T00:00:00+07:00,Noncrystallizing sorbitol solution ( Tên TM: Non-Crystallized Sorbitol( BP)),"PAIK KWANG INDUSTRIAL CO., LTD.",Korea,BP 2020
893100354723,2028-10-16T00:00:00+07:00,Polysorbate 20 ( Tên TM: SP Tween 20 MBAL- LQ -( SG)),CRODA SINGAPORE PTE LTD,Singapore,EP 10
893100354723,2028-10-16T00:00:00+07:00,Benzyl alcohol,"DAEJUNG CHEMICALS & METALS CO., LTD.",Korea,KP 10
893100354723,2028-10-16T00:00:00+07:00,Triethanolamine,PANREAC QUÍMICA S.L.U.,Spain,USP 43-NF 38
893100354723,2028-10-16T00:00:00+07:00,Propylene glycol,"DOW CHEMICAL KOREA LTD, (MTP AIE PG)",Thailand,USP 43-NF 38
893100354723,2028-10-16T00:00:00+07:00,Hydroxypropyl cellulose (H) (HPC-H),"NIPPON SODA CO., LTD.",Japan,JP 17
893100354723,2028-10-16T00:00:00+07:00,Carbomer 940 ( Tên TM: Carbopol 940),LUBRIZOL ADVANCED MATERIALS INC.,USA,USP 43-NF 38
VD-21074-14,2027-12-21T00:00:00+07:00,Polysorbate 60(Tên TM: Tween 60 Pharma-SS-(SG)),CRODA SINGAPORE PTE LTD,Singapore,USP 32-NF 27
VD-34817-20,2025-12-21T00:00:00+07:00,Butylhydroxytoluene (BHT),Panreac Quimica SLU,Spain,"BP, Ph.Eur"
893110457623,2028-11-08T00:00:00+07:00,Sinopol PEG 6000,"Sino - Japan Chemical Co., Ltd",Taiwan,USP
VD-35811-22,2027-09-26T00:00:00+07:00,HFA 134a (Norflurane),SRF Limited,India,BP 2018/ EP 9.0
893110393723,2026-10-19T00:00:00+07:00,Vỏ nang rỗng (Empty Gelatin Capsule,"Shaoxing Zhongya Capsules Industry Co., Ltd",China,in - house standard
893110094923,2028-05-25T00:00:00+07:00,Vỏ nang rỗng (Empty Gelatin Capsule),"Shaoxing Zhongya Capsules Industry Co., Ltd",China,in - house standard
893110461423,2028-11-08T00:00:00+07:00,Magnesi stearat,"Anhui Sunhere Pharmaceutical Excipients Co., Ltd",Pr China,BP phiên bản hiện hành
893110461423,2028-11-08T00:00:00+07:00,Silic dioxyd keo khan,Evonik Degussa GmbH,Germany,BP phiên bản hiện hành
893110461423,2028-11-08T00:00:00+07:00,Hương cam,Essepi,Italia,Nhà sản xuất
893110461423,2028-11-08T00:00:00+07:00,NEOHESPERIDINE DC PHAR.EUR.,HealthTech Bio Actives SLU,Spain,EP phiên bản hiện hành
893110461423,2028-11-08T00:00:00+07:00,MAFCO MAGNASWEET 100 (MM100),Mafco Worldwide LLC,USA,USP phiên bản hiện hành
893110461423,2028-11-08T00:00:00+07:00,Aspartam,Qingdao Singsino Group Limited,P.R China,BP phiên bản hiện hành
893110461423,2028-11-08T00:00:00+07:00,Crospovidon,BASF,USA,BP phiên bản hiện hành
893110461423,2028-11-08T00:00:00+07:00,EUDRAGIT® NM 30 D,Evonik Operations GmbH,Germany,USP phiên bản hiện hành
893110461423,2028-11-08T00:00:00+07:00,Manitol,Roquette Freres,France,USP phiên bản hiện hành
893100202023,,Cherry flavour,GIVAUDAN,Singapore,Nhà sản xuất
893100202023,,Strawberry flavour,TASTEPOINT,USA,Nhà sản xuất
893100202023,,Hydroxyethylcellulose,ASHLAND INDUSTRIES NEDERLAD B.V. (Affiliate Of Ashland Inc),Netherlands,European Pharmacopoeia 9.6 (EP 9.6)
893100202023,,Benzoic acid,MERCK KGaA,Germany,Ph. Eur. 9.6
893100202023,,Sucralose (Sucralose Granular DFF-1 NF),TATE & LYLE,USA,USP 42/ NF 37
893100202023,,Sucralose,JK SUCRALOSE Inc.,China,USP 42/ NF 37
893100202023,,Maltitol liquid,CARGILL DEUTSCHLAND GMBH,Germany,Ph. Eur. 9.6
893110463123,2028-11-08T00:00:00+07:00,Pharmatose® 450M Milled lactose monohydrate,FrieslandCampina DMV B.V.,The Netherlands,EP 10.0
VD-23341-15,2027-04-20T00:00:00+07:00,TWEEN 80 PHARMA-LQ-(SG) (Polysorbate 80),Croda Singapore Pte Ltd,Singapore,EP 9.2
893114066723,,Opadry II Orange (Opadry ® II Complete Film Coating System 85F530107 Orange),Colorcon,Trung Quốc,TCCS
893114066723,,Magnesi stearate (Magnesium stearate),"Sun Ace Kakoh (Pte.) Ltd.,",Singapore,DĐVN phiên bản hiện hành
893114066723,,Natri croscarmellose (Croscarmellose sodium),Gujarat Microwax Private Limited,Ấn Độ,USP phiên bản hiện hành
893114066723,,Natri lauryl sulfat (Sodium lauryl sulfate),PT. Kao Indonesia Chemicals,Indonesia,USP phiên bản hiện hành
893114066723,,Povidon K30 (Povidone K30),"Jiaozuo Zhongwei Special products Pharmaceutical, Co,Ltd",Trung Quốc,USP phiên bản hiện hành
893110066623,,Tá dược bao phim Opadry II White (Opadry® II Complete Film Coating System 85F18422 White),Shanghai Colorcon Coating Technology Limited,Trung Quốc,TCCS
893110066623,,Tá dược bao phim Opadry II Orange (Opadry® II Complete Film Coating System 85F530107 Orange),Shanghai Colorcon Coating Technology Limited,Trung Quốc,TCCS
893110066623,,Magnesi stearat (Magnesium stearate),Sun Ace Kakoh (Pte.) Ltd.,Singapore,DĐVN V
893110066623,,Natri croscarmellose (Croscarmellose sodium),JRS Pharma & Gujarat Microwax Private Limited,Ấn Độ,USP 43
893110066623,,Cellulose vi tinh thể 102 (Microcrystalline cellulose 102),Blanver Farmo Quimica Ltda.,Brasil,USP 43
893100065023,,Tá dược bao phim Opadry II Pink (Opadry® II Complete Film Coating System 85F14400 Pink),Colorcon Asia Pacific Pte Ltd.,Singapore,Nhà sản xuất
893100065023,,Talc,Nitika Pharmaceutical Speciallities Pvt.Ltd,Ấn Độ,DĐVN phiên bản hiện hành
893100065023,,Magnesi stearat (Magnesium stearate),"CM Shanghai Co., Ltd.",Trung Quốc,DĐVN phiên bản hiện hành
893100065023,,Silic keo khan K200 (Colloidal silicon dioxide),OCI Company Ltd.,Hàn Quốc,USP phiên bản hiện hành
893100065023,,Natri croscarmellose (Croscarmellose sodium),Gujarat Microwax Private Limited,Ấn Độ,USP phiên bản hiện hành
893100065023,,Povidon K30 (Povidone K30),"Jiaozuo Zhongwei Special products Pharmaceutical, Co,Ltd.",Trung Quốc,USP phiên bản hiện hành
893100065023,,Cellulose vi tinh thể 101 (Microcrystalline cellulose 101),"Mingtai Chemical Co., Ltd.",Đài Loan,USP phiên bản hiện hành
893100065023,,Lactose monohydrat 200 (Lactose monohydrate 200),Molkerei Meggle USA Inc.,Mỹ,USP phiên bản hiện hành
893114064823,,Magnesi stearate (Magnesium stearate),Sun Ace Kakoh (Pte.) Ltd.,Singapore,DĐVN phiên bản hiện hành
893114064823,,"Cồn 99,5% (Ethanol 99,5%)",Panreac Quimica S.L.U,Tây Ban Nha,BP phiên bản hiện hành
893114064823,,Cellulose vi tinh thể 102 (Microcrystalli ne cellulose 102),Accent Microcell Pvt Ltd.,Ấn Độ,USP phiên bản hiện hành
893114064823,,Povidone K90,"ISP Technologies, Inc.",Mỹ,USP phiên bản hiện hành
893110065123,,Crospovidone XL,Ashland (ISP Chemicals LLC),Mỹ,USP phiên bản hiện hành
893110065123,,Lactose monohydrat 200 (Lactose monohydrate 200),"Meggle USA, Inc.,",Mỹ,USP phiên bản hiện hành
VD-27295-17,2024-12-31T00:00:00+07:00,Talc,"Nippon Talc Co., Ltd.",Japan,USP 43
VD-27295-17,2024-12-31T00:00:00+07:00,Tinh bột ngô (Corn starch),Roquette Frerès,France,NF 38
VD-21150-14,2024-12-31T00:00:00+07:00,Titan dioxyd,ROHA DYECHEM PVT. LTD,India,EP 9.0
VD-21150-14,2024-12-31T00:00:00+07:00,Oxyd sắt vàng,UNIVAR LTD,England,QCVN 4-10:2010/BYT
VD-21150-14,2024-12-31T00:00:00+07:00,Glycerin đậm đặc,P&G CHEMICALS / FPG OLEO CHEM,Malaysia,USP 40
VD-21150-14,2024-12-31T00:00:00+07:00,Gelatin,"GELTECH Co., LTD",Korea,EP 9.0
VD-21150-14,2024-12-31T00:00:00+07:00,Gelatin,"SAMMI INDUSTRIAL CO., LTD",Korea,EP 9.0
VD-21150-14,2024-12-31T00:00:00+07:00,Dimethicone 1000,KCC CORPORATION,Korea,USP 40
QLĐB-608-17,,Instacoat universal green IC-U-6334,Ideal Cures Pvt. Ltd.,Ấn Độ (India),TC NSX (In-House)
QLĐB-564-16,,Insta Glow White,Ideal Curves Pvt. Ltd.,Ấn Độ,In-House
QLĐB-564-16,,Opadry Pink,Colorcon Asia Private Limited,Ấn Độ,n-house
893110057023,2028-03-24T00:00:00+07:00,Opadry yellow 04G82949 (tên thương mại OPADRY® COMPLETE FILM COATING SYSTEM 04G82949 YELLOW),Colorcon Asia Private Limited,India,TCCS
893110232623,,Opadry rapid sugar white (OPADRY® SGR RAPID SUGAR FILM COATING SYSTEM 231U180004 WHITE),Colorcon Asia Pvt. Limited,India,Nhà sản xuất
893110232623,,Opadry rapid sugar translucent (OPADRY® SGR RAPID SUGAR FILM COATING SYSTEM 230U190010 TRANSLUCENT),Colorcon Asia Pvt. Limited,India,Nhà sản xuất
893110232623,,Opadry QX White (OPADRY® QX Quick and Flexible Film Coating System 321A280003 WHITE),Colorcon Asia Pvt. Limited,India,Nhà sản xuất
893110065223,2028-03-24T00:00:00+07:00,Silic keo khan (Colloidal silicon dioxide),Madhu Silica Pvt. Ltd.,Ấn Độ,BP phiên bản hiện hành
893110065223,2028-03-24T00:00:00+07:00,Natri stearyl fumarate (Sodium stearyl fumarate),JRS Pharma GmBH & Co. Kg,Đức,USP phiên bản hiện hành
893110065223,2028-03-24T00:00:00+07:00,Hương bạc hà (Natural mint flavouring spray dried powder),IPRA FRANCE,Pháp,TCCS
893110065223,2028-03-24T00:00:00+07:00,Natri citrat (Sodium citrate),"Weifang Ensign Industry Co., Ltd.",Trung Quốc,BP phiên bản hiện hành
893110065223,2028-03-24T00:00:00+07:00,Kali polacrillin (Polacrilin potassium) (KYRON T-314),Corel Pharma Chem,Ấn Độ,USP phiên bản hiện hành
893110065223,2028-03-24T00:00:00+07:00,Sucralose,"Xiamen BOAO Technology Co., Ltd",Trung Quốc,USP phiên bản hiện hành
893110065223,2028-03-24T00:00:00+07:00,Mannitol 200SD (Pearlitol 200SD),Roquette Freres,Pháp,BP phiên bản hiện hành
893110065223,2028-03-24T00:00:00+07:00,Cellulose vi tinh thể silicified 50 (Silicified microcrystalline cellulose 50),JRS PHARMA GmbH & Co. KG,Đức,USP phiên bản hiện hành
893110064923,2028-03-24T00:00:00+07:00,Tinh bột natri glycolat loại A (sodium starch glycolate type A),JRS Pharma & Gujarat microwax private limited,Ấn Độ,BP phiên bản hiện hành
VD-18535-13,2024-12-31T00:00:00+07:00,Carmellose sodium (Blanose (TM) 7MF PH Carboxymethylcellulose),Ashland Specialties France Sarl,France,EP phiên bản hiện hành
VD-24100-16,2024-12-31T00:00:00+07:00,Borneol (Natural borneol),"JiangXi Cedar Natural Pharmaceutical Oil Co., Ltd",China,CP 2015
VD-24100-16,2024-12-31T00:00:00+07:00,Natri EDTA (Disodium edetate),Sujata Chemicals,India,BP 2014
VD-24100-16,2024-12-31T00:00:00+07:00,Benzalkonium clorid (Benzalkonium chloride EMPROVE® ESSENTIAL),"EMD Millipore Corporation - a subsidiary of Merck KGaA, Germany",USA,EP 8
VD-24100-16,2024-12-31T00:00:00+07:00,Benzalkonium clorid (FeF Benzalkonium chloride),Novo Nordisk Pharmatech A/S,Denmark,EP 8
VD-24100-16,2024-12-31T00:00:00+07:00,Natri clorid (sodium chloride) (Pharmaceutica l sodium chloride),Dominion salt Ltd,New Zealand,USP 37
VD-24100-16,2024-12-31T00:00:00+07:00,"Natri borat (di-Sodium tetraborate decahydrate EMPROVE® ESSENTIAL Ph Eur,BP,JP,NF)",Merck KGaA,Germany,BP 2013
VD-24100-16,2024-12-31T00:00:00+07:00,"Acid boric (Boric acid powder, EMPROVE® ESSENTIAL Ph Eur,BP,JP,NF)",Merck KGaA,Germany,EP 8
VD-24100-16,2024-12-31T00:00:00+07:00,PEG 400 (Kollisolv® PEG 400),BASF SE,Germany,EP 8
VD-34817-20,2025-12-21T00:00:00+07:00,Gelatine 200 Bloom Grain - Pig Skin,Weishardt International,France,USP
893110215323,2028-08-24T00:00:00+07:00,Calcium hydrogen phosphate (Calci hydrophosphat),"Innophos, lnc.",USA,EP 10.8
VD-20555-14,2027-12-30T00:00:00+07:00,Dextrose monohydrat (dextrose monohydrate M),Roquette Freres,France,EP phiên bản hiện hành (EP 10)
VD-20555-14,2027-12-30T00:00:00+07:00,Vanillin (Rhovanil),Rhodia Operations,France,EP phiên bản hiện hành (EP 10)
VD-23465-15,2028-03-24T00:00:00+07:00,Propylen glycol (Propylene glycol),Dow Chemical Thailand Ltd,Thailand,EP phiên bản hiện hành (EP 10)
VD-23465-15,2028-03-24T00:00:00+07:00,Hydroxypropyl cellulose  (HPC-H) (Klucel (TM) HF Pharm Hydroxypropylcellulose),Ashland Specialty Ingredients G.P. Affiliate of Ashland,USA,EP phiên bản hiện hành (EP 10)
893100204923,2028-08-17T00:00:00+07:00,"L(+)-Tartaric acid cryst., EMPROVE® ESSENTIAL Ph Eur, BP, JP, NF, E 334",Merck KGaA,Germany,EP 10.0
VD-25517-16,2024-12-31T00:00:00+07:00,"Hydroxypropyl Methylcellulose 2910 15 cps (Hypromellose 2910, 15 pcs) (Tên TM: Methocel (TM) E15 Premium LV Hydroxypropyl Methylcellulose)","Nutrition & Biosciences USA 1, LLC",USA,USP hiện hành
VD-35768-22,2027-09-09T00:00:00+07:00,Butylated hydroxyanisole,Panreac Quimica S.L.U,Espana,USP 40
VD-35768-22,2027-09-09T00:00:00+07:00,Propylene glycol,Dow Chemical Pacific,Singapore,USP 40
VD-35768-22,2027-09-09T00:00:00+07:00,Hydroxypropyl cellulose,Nippon Soda,Japan,USP 40
VD-33984-20,2025-06-15T00:00:00+07:00,Natri carboxymethyl cellulose (Blanose™ 7mf ph carboxymethylcellulose),Ashland Specialties France Sarl Affiliate of Ashland,France,USP/EP
VD-35963-22,2027-12-09T00:00:00+07:00,Titan dioxyd,"PROQUIMAC PFC, S.A.",España,BP2017
VD-35963-22,2027-12-09T00:00:00+07:00,Erythrosin,"TAISHAN CITY CHEMICAL PHARMACEUTICAL CO., LTD",China,QCVN 4-10:2010/BYT
VD-35963-22,2027-12-09T00:00:00+07:00,Allura red AC,ROHA DYECHEM PVT. LTD,India,QCVN 4-10:2010/BYT
VD-35963-22,2027-12-09T00:00:00+07:00,Brilliant blue FCF,ROHA DYECHEM PVT. LTD,India,QCVN 4-10:2010/BYT
VD-35963-22,2027-12-09T00:00:00+07:00,Ethyl vanillin (EuroVanillin Aromatic),BORREGAARD AS,Norway,USP 40
VD-35963-22,2027-12-09T00:00:00+07:00,D- sorbitol 70%,ROQUETTE LESTREM PLANT,France,BP2017
VD-35963-22,2027-12-09T00:00:00+07:00,Glycerin đậm đặc,FPG OLEO CHEMICALS SDN BHD,Malaysia,BP2017
VD-35963-22,2027-12-09T00:00:00+07:00,Gelatin,"GELTECH Co., Ltd",Korea,BP2017
VD-35963-22,2027-12-09T00:00:00+07:00,Sáp ong trắng (Premium Beeswax Blend),PARAMELT B.V,The Netherlands,TCNSX
VD-35963-22,2027-12-09T00:00:00+07:00,Dầu lecithin (Yelkin TS Soy Lecithin),ARCHER DANIELS MIDLAND COMPANY,USA,TCNSX
VD-23345-15,2024-12-31T00:00:00+07:00,Croscarmellose sodium (Ac-Di-Sol® SD-711 NF),"DuPont Nutrition USA, Inc.",USA,EP 9.0
893110121723,2028-05-25T00:00:00+07:00,Ethyl vanillin (EuroVanillin Aromatic),BORREGAARD AS,Norway,USP 40
893110121723,2028-05-25T00:00:00+07:00,Glycerin đậm đặc,FPG OLEO CHEMICALS SDN BHD,Malaysia,BP 2017
893110121723,2028-05-25T00:00:00+07:00,Gelatin,"GELTECH Co., Ltd",Korea,BP 2017
VD-35961-22,2027-12-09T00:00:00+07:00,Brilliant blue FCF,Roha Dyechem Pvt. Ltd,India,QCVN 4-10:2010/BYT
VD-35961-22,2027-12-09T00:00:00+07:00,Allura red AC,Roha Dyechem Pvt. Ltd,India,QCVN 4-10:2010/BYT
VD-35961-22,2027-12-09T00:00:00+07:00,Erythrosin,"Taishan City Chemical Pharmaceutical Co., Ltd",China,QCVN 4-10:2010/BYT
VD-35961-22,2027-12-09T00:00:00+07:00,Titan dioxyd,ROHA EUROOE S.L.U,Spain,BP 2017
VD-35961-22,2027-12-09T00:00:00+07:00,Glycerin đậm đặc,FPG OLEO CHEMICALS SDN BHD,Malaysia,USP 40
VD-35961-22,2027-12-09T00:00:00+07:00,Gelatin,"GELTECH Co., Ltd",Korea,BP 2017
VD-35961-22,2027-12-09T00:00:00+07:00,D-alpha tocopherol,"Zhejiang Medicine Co., Ltd Xinchang Pharmaceutical Factory",China,BP 2017
VD-35961-22,2027-12-09T00:00:00+07:00,Dầu mè (Refined Sesame Oil),AOS Products Private Limited AN ISO 9001-2008 and GMP accredited Company,India,BP 2017
VD-34312-20,2025-06-15T00:00:00+07:00,Lactose monohydrat,Molkerei Meggle wasserburg GmbH & Co.KG,Đức,USP-NF 2023
VD-34312-20,2025-06-15T00:00:00+07:00,Lactose monohydrat,Lactose (India) Limited,Ấn Độ,USP-NF 2023
VD-36248-22,2027-12-30T00:00:00+07:00,Titan dioxyd (Titanium dioxide),ROHA EUROOE S.L.U,Spain,EP hiện hành
VD-36248-22,2027-12-30T00:00:00+07:00,Sunset yellow FCF (FD&C Yellow No.6 Powder),"BOLAK CO., LTD",Korea,QCVN 4-10:2010/BYT
